identifier_adminDB,title,name_author 1,name1_URI,name_author 2,name2_URI,name_author 3,name3_URI,name_author 4,name4_URI,name_author 5,name5_URI,dateIssued,extent,identifier_isbn,identifier_issn,publisher,notes,abstract,language,typeofResource,form,URI_form,subject_geographic,URI_geo,subject_topic_LCSH,URI_topic,subject_topic_LCSH2,URI_topic2,subject_topic_LCSH3,URI_topic3,subject_topic_LCSH4,URI_topic4,subject_topic_NAF,URI_NAF_topic,record_source,project_title,repository,repository_URI,rights,rights URI
0116_000050_000345,Decade of Indifference: Maternal and Child Health Trends 1980-1990,Children's Defense Fund (U.S.),http://id.loc.gov/authorities/names/n80083301,,,,,,,,,1993,25,,,Children's Defense Fund (U.S.),,"This report assesses the progress made by the US between 1980 and 1990 in reaching maternal and child health objectives set by the US Surgeon General in 1978. The report concludes that the US failed dismally to reach these key goals. As a result, many American babies needlessly died or became disabled. The report states that the health of pregnant women and infants in the US got worse as a result of the failure of seven of eight key indicators.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child health services,http://id.loc.gov/authorities/subjects/sh85023366,Maternal health services,http://id.loc.gov/authorities/subjects/sh85082102,Federal aid to child health services,http://id.loc.gov/authorities/subjects/sh85047558,Infants--Mortality,http://id.loc.gov/authorities/subjects/sh85066037,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000346,The Family Support Act: How Can It Help Teen Parents?,"Sherman, Arloc",http://id.loc.gov/authorities/names/n92122654,"Ebb, Nancy",http://id.loc.gov/authorities/names/no99034746,,,,,,,1991,35,,,Children's Defense Fund (U.S.),,"This booklet was created to help teen parent service providers get involved with the Family Support Act (FSA) of 1988, which targeted new education and training efforts to teen parents on welfare. States were required to implement the Act by Oct. 1, 1990. The booklet was designed to assist those who serve teen parents on how to become involved both in planning and providing services.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Federal aid to child welfare,http://id.loc.gov/authorities/subjects/sh85047559,Teenage parents,http://id.loc.gov/authorities/subjects/sh85000966,Child support,http://id.loc.gov/authorities/subjects/sh85023394,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000347,Vanishing Dreams: The Growing Economic Plight of America's Young Families,"Johnson, Clifford",http://id.loc.gov/authorities/names/no2014147264,"Sum, Andrew",http://id.loc.gov/authorities/names/n79090396," Weill, James",,,,,,1988,80,ISBN 938008935,,,Prepared by CDF and Center for Labor Market Studies at Northwestern Univ.,"This report provides a new look at a previous report of the same name published in 1988, which showed that young families with children in 1986 were far worse off economically than the previous generation. New data collected shows that young families with children were barely helped at all by the economic growth of the mid-to late 1980s, and that the tiny gains they achieved during this period were more than wiped out in 1990 by the effects of the Recession.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Low-income parents,http://id.loc.gov/authorities/subjects/sh00006770,Young families,http://id.loc.gov/authorities/subjects/sh00006141,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000348,Vanishing Dreams: The Growing Economic Plight of America's Young Families,"Johnson, Clifford",http://id.loc.gov/authorities/names/no2014147264,"Sum, Andrew",http://id.loc.gov/authorities/names/n79090396," Weill, James",,,,,,1992,34,ISBN 938008935,,,Prepared by CDF and Center for Labor Market Studies at Northwestern Univ.,"This report describes the current status of families headed by persons under the age of 30; compares the economic well-being of the current generation of young families in 1986 with that of the preceding generation in 1973; and analyzes the widening gaps between young families with and without children, between young families headed by persons with the least and most education, and between younger and older families.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Low-income parents,http://id.loc.gov/authorities/subjects/sh00006770,Young families,http://id.loc.gov/authorities/subjects/sh00006141,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000349,Families Struggling to Make It in the Workforce: A Post Welfare Report,Children's Defense Fund (U.S.),http://id.loc.gov/authorities/names/n80083301,,,,,,,,,2000,84,,,,,"This report is based upon survey forms collected from more than 5,000 families and individuals by some 180 local community agencies participating in the CDF Community Monitoring Project (CMP) in 65 cities located in 16 states between January 1999 and December of 1999. The project was designed to take a closer look at families that had left welfare since 1996 and sought help from these agencies. Most of the agencies that participated in the study provide homeless shelter, emergency food, and other services targeted to the poorest of the poor, making the study a unique look at families who are struggling the hardest in these communities.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Ex-welfare recipients,http://id.loc.gov/authorities/subjects/sh99004645,Public welfare,http://id.loc.gov/authorities/subjects/sh85108846,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000350,Working Together for Children: Head Start and Child Care Partnerships,"Poersch, Nicole",,"Blank, Helen",http://id.loc.gov/authorities/names/n86833543,,,,,,,1996,124,,,Children's Defense Fund (U.S.),,This report was developed during a round table discussion with program directors to discuss issues involved in developing and implementing collaborative partnerships between child care and Head Start. Program directors from 23 child care and Head Start partnerships completed surveys and participated in phone interviews to generate information for this report.,eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,Child care,http://id.loc.gov/authorities/subjects/sh85023354,Head Start programs,http://id.loc.gov/authorities/subjects/sh87000100,,,Project Head Start (U.S.),"http://id.loc.gov/authorities/names/n790599176 ","University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000351,Head Start: Helping Families Move from Welfare to Work,"Finlay, Belva",http://id.loc.gov/authorities/names/n92112591,"Blank, Helen",http://id.loc.gov/authorities/names/n86833543," Poersch, Oxendine",,,,,,1998,24,,,Children's Defense Fund (U.S.),,This report describes some of the ways in which Head Start agencies are helping to set parents on the path to self-sufficiency. It illustrates the variety of initiatives that are underway relative to the hundreds of Head Start agencies. The report highlights the important work all Head Start agencies are doing to support parents as they move from welfare to work.,eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,Head Start programs,http://id.loc.gov/authorities/subjects/sh87000100,,,,,Project Head Start (U.S.),"http://id.loc.gov/authorities/names/n79059917","University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000352,Healing the Whole Family: A Look at Family Care Programs,"Allen, MaryLee",," Larson, Jamila",,,,,,,,1998,166,ISBN 1881985202,,,,"This report describes 50 family care programs around the country surveyed by CDF. CDF examined programs that treat or serve families struggling with substance abuse, homelessness, domestic violence, and teen parenting. Family care programs were defined as those that allow parents and children to live together in supervised living arrangements for an extended period.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Dysfunctional families,http://id.loc.gov/authorities/subjects/sh85107107,Substance abuse,http://id.loc.gov/authorities/subjects/sh85129539,Family violence,http://id.loc.gov/authorities/subjects/sh85047071,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000353,Child Care Briefing Book,"Adams, Gina",," Poersch, Nicole",,,,,,,,1996,66,,,Children's Defense Fund (U.S.),,"This briefing packet was prepared to provide information on a range of key child care issues. It includes basic facts about child care and its importance to children, families, and communities, as well as information on key legislative issues and proposals affecting child care.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child care,http://id.loc.gov/authorities/subjects/sh85023354,Child care services--Law and legislation,http://id.loc.gov/authorities/subjects/sh88005563,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000354,Enforcing Child Support: Are States Doing the Job?,"Ebb, Nancy",http://id.loc.gov/authorities/names/no99034746,,,,,,,,,1994,73,,,Children's Defense Fund (U.S.),,This CDF report looks at state-by-state child support data to examine the impact of a decade of reform efforts. The report compares data reported by the states to the federal government in FY 1993 and FY 1994 and provides charts for each state to measure progress on key indicators of success for children.,eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child support,http://id.loc.gov/authorities/subjects/sh85023394,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000355,State Child Care Fact Book 1988,"Blank, Helen",http://id.loc.gov/authorities/names/n86833543," Savage, Jennifer",," Wilkins, Amy",,,,,,1988,138,ISBN 938008684,,Children's Defense Fund (U.S.),,"This report contains the findings of CDF's sixth annual survey on child care funding and priorities in the states and documents the urgent need for investment in child care to close the gap between the need for and the supply of safe and affordable child care. The report is divided into five sections: Summary of Findings, Child Care and Welfare Reform: New Opportunities for States, Elements of a Child Care Agenda, 1988 State Child Care Developments, and the Appendixes, which include detailed data about Title XX services, expenditures and reimbursement rates, waiting lists for child care by state, and key child care officials and advocacy centers in each state.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Federal aid to child welfare,http://id.loc.gov/authorities/subjects/sh85047559,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,Child care,http://id.loc.gov/authorities/subjects/sh85023354,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000356,Child Care: The States' Response: A Survey of State Child Care Policies 1983-1984,"Blank, Helen",http://id.loc.gov/authorities/names/n86833543,,,,,,,,,1984,82,,,Children's Defense Fund (U.S.),,"CDF surveyed every state in the country in 1983 to gather information on the nature, quality, and extent of child care serv ices being offered under Title XX of the Social Security Act, the Social Services Block Grant. Title XX is the major source of direct federal funding for child care. CDF published the findings in a study entitled Children and Federal Child Care Cuts: A National Survey of the Impact of Federal Title XX Cuts on State Child Care Systemin Sept. 1983. Since that time, we conducted a second study and updated the findings. This report represents the results of that survey and an agenda that must be implemented if we are to meet the needs of our children and families.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Federal aid to child welfare,http://id.loc.gov/authorities/subjects/sh85047559,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
